一网打尽 (yi1,wang3,da3,jin4)
屈指可数 (qu1,zhi3,ke3,shu3)
回笼 (hui2,long2)
年湮世远 (nian2,yan1,shi4,yuan3)
以珠弹雀 (yi3,zhu1,tan2,que4)
便宜货 (pian2,yi2,huo4)
百无是处 (bai3,wu2,shi4,chu4)
从略 (cong2,lve4)
好心做了驴肝肺 (hao3,xin1,zuo4,le5,lv2,gan1,fei4)
神不守舍 (shen2,bu4,shou3,she3)
着边 (zhuo2,bian1)
析骨而炊 (xi1,gu3,er2,chui1)
亏累 (kui1,lei4)
有子万事足 (you3,zi3,wan4,shi4,zu2)
遮荫 (zhe1,yin1)
邯郸重步 (han2,dan1,chong2,bu4)
不赖 (bu4,lai4)
见精识精 (jian4,jing1,shi2,jing1)
栏杆 (lan2,gan1)
情长纸短 (qing2,chang2,zhi3,duan3)
倒伏 (dao3,fu2)
女公子 (nv3,gong1,zi3)
塞上 (sai1,shang4)
填街塞巷 (tian2,jie1,sai1,xiang4)
日久岁长 (ri4,jiu3,sui4,chang2)
栏柜 (lan2,gui4)
烈女 (lie4,nv3)
石笼 (shi2,long2)
经济规律 (jing1,ji4,gui1,lv4)
一贫如洗 (yi1,pin2,ru2,xi3)
一骨碌 (yi1,gu1,lu4)
蝶骨 (die2,gu3)
丧门神 (sang4,men2,shen2)
一去不复返 (yi1,qu4,bu4,fu4,fan3)
潜藏 (qian2,cang2)
要子 (yao4,zi3)
碗柜 (wan3,gui4)
度长絜短 (du4,chang2,xie2,duan3)
背榜 (bei1,bang3)
朴茂 (pu3,mao4)
器识 (qi4,shi2)
蔽聪塞明 (bi4,cong1,se4,ming2)
镂骨铭心 (lou4,gu3,ming2,xin1)
说白道绿 (shuo1,bai2,dao4,lv4)
从容自若 (cong2,rong2,zi4,ruo4)
背水一战 (bei4,shui3,yi1,zhan4)
重子 (zhong4,zi3)
遮藏 (zhe1,cang2)
目不识书 (mu4,bu4,shi2,shu1)
目不识丁 (mu4,bu4,shi2,ding1)
虫臂鼠肝 (chong2,bi4,shu3,gan1)
无孔不钻 (wu2,kong3,bu4,zuan1)
量子 (liang4,zi3)
旅行社 (lv3,xing2,she4)
白骨精 (bai2,gu3,jing1)
